lat,lon,mean,sd,min,max
31.24735674,34.79450971,21.49120528,6.891677258,0,84.83765697
31.24716217,34.79435766,22.23522533,6.640427334,0,84.83765357
31.246896,34.79434022,22.41795218,6.619684183,0,84.83766582
31.2464721,34.79380928,22.62464901,6.416256085,0,84.83765841
31.24651007,34.7945629,22.79028416,6.3908603,0,84.83765623
31.24673112,34.79464325,21.31091161,6.497619699,0,84.83766588
31.24703709,34.79518666,20.59702295,5.901307092,0,84.83765168
31.24662094,34.79503795,21.74683538,6.594623306,0,84.83766565
31.24655631,34.79530096,20.83566326,5.682352772,0,84.83765941
31.24916638,34.79504571,21.82683405,6.565553463,0,84.83766488
31.24897036,34.79507743,21.67894342,6.654624051,0,84.83765904
31.2488886,34.79488531,21.69539384,6.650800531,0,84.83766542
31.2492598,34.79504606,22.11438583,6.673221034,0,84.83765997
31.24890659,34.79520437,21.68412478,6.644271415,0,84.83765251
31.2467823,34.79309019,22.43952283,6.576703437,0,84.83766572
31.24664205,34.79341374,22.6255704,6.412822709,0,84.83766053
31.24647882,34.79283791,23.19005136,6.415909762,0,84.83765857
31.2495554,34.79159573,22.46773372,6.769458849,0,87.19825982
31.24696666,34.79358247,22.43230338,6.591544655,0,84.83765039
31.24647683,34.79130698,23.1725777,6.689393852,0,84.83765095
31.24679783,34.79145401,23.01920452,6.659862318,0,84.83766339
31.24669249,34.79145804,23.21447752,6.635548893,0,84.8376637
31.24717946,34.79212964,23.12158064,6.639280397,0,84.83765019
31.24729355,34.79237509,23.12419186,6.642214375,0,84.83766511
31.24746267,34.79257462,22.60972125,6.482831395,0,84.83766385
31.24811458,34.79331224,22.38685793,6.677349651,0,84.83765172
31.24719988,34.7927815,22.61005264,6.483027194,0,84.8376546
31.24702558,34.79254186,23.12418188,6.64248567,0,84.83765777
31.24693708,34.79242858,23.12394571,6.638927778,0,84.83765992
31.24671141,34.79366414,22.62447029,6.416779743,0,84.83766315
31.24732026,34.79356007,22.42204967,6.612277606,0,84.83766367
31.24635859,34.79387893,22.62472924,6.416024876,0,84.83765956
31.24932205,34.79457391,22.61797696,6.418139943,0,84.8376622
31.24907564,34.79441006,21.85675411,6.537498044,0,84.83766308
31.2484771,34.79354057,21.88441351,6.508015641,0,84.83765607
31.24879373,34.7943096,21.85704222,6.537132827,0,84.83766179
31.247775,34.79541688,21.20928582,6.576746005,0,84.83765765
31.24670635,34.79059745,22.42852429,6.989121968,0,86.43435078
31.24957856,34.7903527,21.87242755,6.477006286,0,84.83765226
31.24627785,34.79089932,23.22577938,6.70278926,0,84.83766415
31.24626382,34.79518643,20.61558447,5.86162815,0,84.83766319
31.24630086,34.79448773,22.79028416,6.3908603,0,84.83765623
31.24631782,34.79398216,22.63123183,6.404282745,0,84.83765513
31.24621278,34.79199131,23.1860309,6.409886776,0,84.83766279
31.24617671,34.79110657,23.16617075,6.697496574,0,84.83766573
31.24585349,34.79359072,22.463171,6.401905073,0,84.83766441
31.24596824,34.79358174,22.46166227,6.404797479,0,84.83766417
31.24607201,34.79406725,22.47796778,6.37957121,0,84.83765058
31.24607062,34.79425072,22.47841756,6.379289545,0,84.83766186
31.24501694,34.79521575,21.33916955,5.941217362,0,84.8376561
31.24580593,34.79534114,21.34762883,5.933262589,0,84.83766017
31.24555329,34.7952754,21.3470785,5.931820512,0,84.83765565
31.24529168,34.7951334,21.34330252,5.936216121,0,84.83765841
31.24483794,34.79313007,21.90168942,6.500702304,0,84.83765879
31.24452681,34.79367574,21.41461101,5.898335911,0,84.83765688
31.24454925,34.79334957,21.30507337,5.872386737,0,84.83766241
31.24530467,34.79188881,23.13084081,6.485123344,0,84.8376537
31.24514408,34.79231359,23.146159,6.470988727,0,84.83766141
31.24469743,34.79276845,22.35308545,6.533886478,0,84.83765301
31.24480845,34.79246505,22.65216785,6.417165664,0,84.83765143
31.24511431,34.7916411,22.94471487,6.660440871,0,84.83766342
31.24521731,34.79136521,22.96505276,6.628833766,0,84.83765626
31.24534566,34.79104504,22.9568881,6.634187611,0,84.83765466
31.24602248,34.7908002,23.49591739,6.956491175,0,86.43435285
31.24577703,34.79071105,23.48337289,6.970531392,0,86.43435279
31.24590296,34.79098029,23.49465564,6.957643625,0,86.43433958
31.24482635,34.79337825,21.3061412,5.870334633,0,84.83765003
31.2460375,34.79510757,20.84259131,5.667500255,0,84.83765069
31.24608633,34.79494526,21.14585783,5.995685042,0,84.83765228
31.24522476,34.79325017,22.41115981,6.466091678,0,84.83765746
31.24536021,34.79296637,22.43193689,6.437540475,0,84.83766561
31.24604297,34.79104735,23.16512807,6.6988249,0,84.83765768
31.24586118,34.79124454,23.18362249,6.670312102,0,84.83765489
31.24571824,34.79163822,23.37063266,6.486196182,0,84.83766061
31.24575107,34.79221672,23.18924641,6.414240959,0,84.83765612
31.24596173,34.79174022,23.20865364,6.374571032,0,84.83765105
31.24604782,34.79386591,22.47686422,6.380943399,0,84.83765993
31.246077,34.79443254,22.80924284,6.348582385,0,84.83765611
31.24577696,34.79288133,22.4340935,6.435150887,0,84.83765239
31.2458897,34.79266625,23.17917654,6.432173694,0,84.83766298
31.24603199,34.79245398,23.1978296,6.401876346,0,84.8376589
31.24573742,34.78792132,22.51315652,6.865904973,0,86.43433755
31.24593284,34.78770694,22.5059187,6.875901911,0,86.43434518
31.24603153,34.78773573,22.50012677,6.883407771,0,86.43434314
31.24592378,34.7874316,22.41751545,6.97223786,0,86.43435262
31.24576167,34.78779216,22.51002586,6.870229205,0,86.43434397
31.24603344,34.78665042,22.54339023,6.844673179,0,86.43434137
31.24607084,34.78638059,22.57908007,6.800579445,0,86.43434889
31.24609908,34.78624645,22.58293282,6.795748708,0,86.43434672
31.24604209,34.78650476,22.5612439,6.822783319,0,86.43434969
31.24606458,34.78990656,22.29258188,7.140934198,0,86.43434265
31.24596763,34.78881656,22.36481228,7.047799629,0,86.43434539
31.24576082,34.78995856,22.29416109,7.128758163,0,86.43433806
31.24582087,34.78923539,22.28738314,7.14091198,0,86.43434705
