lon,lat,mean,sd,min,max
34.79457391,31.24932205,25.11921252,7.095442707,0,89.13766559
34.79441006,31.24907564,24.26559676,7.384395542,0,89.13764981
34.79354057,31.2484771,24.5220667,7.165388143,0,89.13765946
34.7943096,31.24879373,24.26587085,7.384081453,0,89.13766519
34.79541688,31.247775,23.82165422,7.004539269,0,89.13766105
34.79059745,31.24670635,22.9675115,7.233744813,0,89.13765616
34.7903527,31.24957856,24.70722998,7.376736792,0,89.13764981
34.79089932,31.24627785,23.00682304,7.178937732,0,89.13766415
34.79518643,31.24626382,22.72753008,7.11385032,0,85.98272367
34.79448773,31.24630086,24.68580903,6.993689467,0,89.13765963
34.79398216,31.24631782,24.66561639,7.02486337,0,89.13765852
34.79199131,31.24621278,23.55294652,6.978832021,0,89.13764952
34.79110657,31.24617671,23.55926766,6.983259447,0,89.13766573
34.79359072,31.24585349,24.35906793,7.100499385,0,89.13765114
34.79358174,31.24596824,24.35681583,7.104322698,0,89.13765089
34.79406725,31.24607201,24.70572702,6.971478048,0,89.13765398
34.79425072,31.24607062,24.69182382,6.986664871,0,89.13764979
34.79521575,31.24501694,22.74962076,7.07830922,0,85.98272151
34.79534114,31.24580593,23.4272911,7.096852798,0,89.13765367
34.7952754,31.24555329,23.42414772,7.096589693,0,89.13766577
34.7951334,31.24529168,23.41773458,7.101854522,0,89.13765467
34.79313007,31.24483794,23.44789161,6.917249472,0,89.13766343
34.79367574,31.24452681,22.86813322,7.171939692,0,89.13765258
34.79334957,31.24454925,23.25212142,7.085185727,0,89.13765038
34.79188881,31.24530467,23.45798804,7.083533274,0,89.13765128
34.79231359,31.24514408,23.47476193,7.069268771,0,89.13765899
34.79276845,31.24469743,23.42191561,7.137453206,0,89.1376506
34.79246505,31.24480845,23.44697384,7.106016886,0,89.13766568
34.7916411,31.24511431,23.4465165,7.092640155,0,89.13765892
34.79136521,31.24521731,24.04519242,7.141174896,0,89.1376615
34.79104504,31.24534566,24.03463884,7.145415107,0,89.1376599
34.7908002,31.24602248,23.49296009,7.056335232,0,89.13765551
34.79071105,31.24577703,22.96854001,7.212250828,0,89.13765639
34.79098029,31.24590296,23.4912204,7.057597405,0,89.13765211
34.79337825,31.24482635,23.25296205,7.083723036,0,89.13765467
34.79510757,31.2460375,23.42905962,7.097562456,0,89.13766085
34.79494526,31.24608633,23.41250414,7.124982805,0,89.13765253
34.79325017,31.24522476,24.29620756,7.181578975,0,89.13766509
34.79296637,31.24536021,24.32013989,7.146704188,0,89.13764942
34.79104735,31.24604297,23.55884624,6.983990701,0,89.13765768
34.79124454,31.24586118,24.09059794,7.073768581,0,89.13765435
34.79163822,31.24571824,24.09200643,7.071599625,0,89.13766529
34.79221672,31.24575107,24.67498776,7.019860681,0,89.13765951
34.79174022,31.24596173,24.10046927,7.057514575,0,89.13765819
34.79386591,31.24604782,24.70594423,6.972643156,0,89.13766332
34.79443254,31.246077,24.69176707,6.986880636,0,89.13765554
34.79288133,31.24577696,24.66085213,7.040642702,0,89.13765578
34.79266625,31.2458897,24.66564185,7.036065753,0,89.13764971
34.79245398,31.24603199,24.70010489,6.990007733,0,89.13766229
34.78792132,31.24573742,23.62819896,7.711414966,0,89.19826139
34.78770694,31.24593284,23.6173017,7.720096466,0,89.19826903
34.78773573,31.24603153,23.60839419,7.727106235,0,89.19826698
34.7874316,31.24592378,22.87725706,7.496388616,0,85.98272782
34.78779216,31.24576167,23.62348896,7.71516277,0,89.19826781
34.78665042,31.24603344,23.16050643,7.41616711,0,85.98271657
34.78638059,31.24607084,23.66983961,7.605070583,0,89.19827287
34.78624645,31.24609908,23.67460803,7.601522714,0,89.19827069
34.78650476,31.24604209,23.64809746,7.621503259,0,89.19827366
34.78990656,31.24606458,22.42875425,7.215134693,0,85.98271631
34.78881656,31.24596763,22.51170689,7.10991006,0,85.98272577
34.78995856,31.24576082,22.44239166,7.194005605,0,85.98272838
