

-- Schedule for TransitLine with ObjectID 682 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
11:14:18  11:16:36  ----F--  israelpublictransportation02052018BSOnly:26406511_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
11:14:18  11:16:36  ----F--  israelpublictransportation02052018BSOnly:26406511_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
11:16:33  11:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537058_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
11:16:33  11:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537058_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
11:31:33  11:33:51  ----F--  israelpublictransportation02052018BSOnly:28536987_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
11:31:33  11:33:51  ----F--  israelpublictransportation02052018BSOnly:28536987_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
11:31:33  11:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537063_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
11:31:33  11:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537063_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
11:44:18  11:46:36  ----F--  israelpublictransportation02052018BSOnly:26406512_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
11:44:18  11:46:36  ----F--  israelpublictransportation02052018BSOnly:26406512_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
11:46:33  11:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537068_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
11:46:33  11:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537068_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
12:01:33  12:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537073_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
12:01:33  12:03:51  ----F--  israelpublictransportation02052018BSOnly:28536988_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
12:01:33  12:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537073_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
12:01:33  12:03:51  ----F--  israelpublictransportation02052018BSOnly:28536988_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
12:14:18  12:16:36  ----F--  israelpublictransportation02052018BSOnly:26406513_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
12:14:18  12:16:36  ----F--  israelpublictransportation02052018BSOnly:26406513_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
12:16:33  12:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537078_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
12:16:33  12:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537078_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
12:31:33  12:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537083_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
12:31:33  12:33:51  ----F--  israelpublictransportation02052018BSOnly:28536989_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
12:31:33  12:33:51  ----F--  israelpublictransportation02052018BSOnly:28536989_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
12:31:33  12:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537083_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
12:44:18  12:46:36  ----F--  israelpublictransportation02052018BSOnly:26406514_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
12:44:18  12:46:36  ----F--  israelpublictransportation02052018BSOnly:26406514_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
12:46:33  12:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537088_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
12:46:33  12:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537088_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
13:01:33  13:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537093_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
13:01:33  13:03:51  ----F--  israelpublictransportation02052018BSOnly:28536990_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
13:01:33  13:03:51  ----F--  israelpublictransportation02052018BSOnly:28536990_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
13:01:33  13:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537093_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
13:14:18  13:16:36  ----F--  israelpublictransportation02052018BSOnly:26406515_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
13:14:18  13:16:36  ----F--  israelpublictransportation02052018BSOnly:26406515_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
13:16:33  13:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537098_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
13:16:33  13:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537098_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
13:31:33  13:33:51  ----F--  israelpublictransportation02052018BSOnly:28536991_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
13:31:33  13:33:51  ----F--  israelpublictransportation02052018BSOnly:28536991_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
13:31:33  13:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537103_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
13:31:33  13:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537103_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
13:44:18  13:46:36  ----F--  israelpublictransportation02052018BSOnly:26406516_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
13:44:18  13:46:36  ----F--  israelpublictransportation02052018BSOnly:26406516_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
13:46:33  13:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537108_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
13:46:33  13:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537108_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
14:01:33  14:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537113_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
14:01:33  14:03:51  ----F--  israelpublictransportation02052018BSOnly:28536992_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
14:01:33  14:03:51  ----F--  israelpublictransportation02052018BSOnly:28536992_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
14:01:33  14:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537113_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
14:14:18  14:16:36  ----F--  israelpublictransportation02052018BSOnly:26406517_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
14:14:18  14:16:36  ----F--  israelpublictransportation02052018BSOnly:26406517_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
14:16:33  14:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537118_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
14:16:33  14:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537118_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
14:31:33  14:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537123_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
14:31:33  14:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537123_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
14:36:33  14:38:51  ----F--  israelpublictransportation02052018BSOnly:28536993_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
14:36:33  14:38:51  ----F--  israelpublictransportation02052018BSOnly:28536993_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
14:46:33  14:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537128_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
14:46:33  14:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537128_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
14:54:18  14:56:36  ----F--  israelpublictransportation02052018BSOnly:26406518_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
14:54:18  14:56:36  ----F--  israelpublictransportation02052018BSOnly:26406518_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
15:01:33  15:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537133_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
15:01:33  15:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537133_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
15:16:33  15:18:51  ----F--  israelpublictransportation02052018BSOnly:28536994_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
15:16:33  15:18:51  ----F--  israelpublictransportation02052018BSOnly:28536994_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
15:16:33  15:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537138_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
15:16:33  15:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537138_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
15:31:33  15:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537143_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
15:31:33  15:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537143_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
15:46:33  15:48:51  ----F--  israelpublictransportation02052018BSOnly:28536995_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
15:46:33  15:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537148_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
15:46:33  15:48:51  ----F--  israelpublictransportation02052018BSOnly:28536995_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
15:46:33  15:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537148_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
15:59:18  16:01:36  MTWTh--Su  israelpublictransportation02052018BSOnly:26406472_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182084
15:59:18  16:01:36  MTWTh--Su  israelpublictransportation02052018BSOnly:26406472_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182086
16:16:33  16:18:51  ----F--  israelpublictransportation02052018BSOnly:28536996_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
16:16:33  16:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537153_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
16:16:33  16:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537153_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
16:16:33  16:18:51  ----F--  israelpublictransportation02052018BSOnly:28536996_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
16:34:18  16:36:36  MTWTh--Su  israelpublictransportation02052018BSOnly:26406473_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182086
16:34:18  16:36:36  MTWTh--Su  israelpublictransportation02052018BSOnly:26406473_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182084
16:56:33  16:58:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536893_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
